GSM,sample_name,condition,donor,seq_batch,genes,h5_spots,metadata_spots,barcode_metadata_matches,matrix_nonzero_entries
GSM7717016,Donor4_Skin,Skin,Donor4,3,36600,880,740,740,834422
GSM7717017,Donor4_Wound1,Wound1,Donor4,3,36600,1745,1608,1608,2151840
GSM7717018,Donor4_Wound7,Wound7,Donor4,3,36600,1334,1212,1212,2534620
GSM7717019,Donor4_Wound30,Wound30,Donor4,3,36600,1996,1777,1777,2623177
GSM8238462,Donor1_Skin,Skin,Donor1,1,36600,1382,810,810,1284036
GSM8238463,Donor1_Wound1,Wound1,Donor1,1,36600,2050,1832,1832,1730168
GSM8238464,Donor1_Wound7,Wound7,Donor1,1,36600,1802,1689,1689,3288062
GSM8238465,Donor1_Wound30,Wound30,Donor1,1,36600,1354,1278,1278,2178377
GSM8238466,Donor2_Skin,Skin,Donor2,2,36600,914,842,842,947229
GSM8238467,Donor2_Wound1,Wound1,Donor2,2,36600,1901,1758,1758,2174210
GSM8238468,Donor2_Wound7,Wound7,Donor2,2,36600,1953,1606,1606,1697537
GSM8238469,Donor2_Wound30,Wound30,Donor2,2,36600,2364,2205,2205,4570004
GSM8238470,Donor3_Skin,Skin,Donor3,3,36600,793,685,685,521173
GSM8238471,Donor3_Wound1,Wound1,Donor3,3,36600,1507,1317,1317,1530916
GSM8238472,Donor3_Wound7,Wound7,Donor3,3,36600,1749,1537,1537,2781442
GSM8238473,Donor3_Wound30,Wound30,Donor3,3,36600,2245,2019,2019,2434794
